Stock;Score;Poids (%);Capital (€)
EXC;9.7157;7.9;31611.03
SIRI;6.3971;5.2;20813.56
KHC;6.0516;4.92;19689.44
XEL;4.0762;3.32;13262.34
AEP;4.0271;3.28;13102.64
TCOM;2.9534;2.4;9609.03
BIIB;2.8272;2.3;9198.44
JD;2.6169;2.13;8514.21
CTSH;2.6061;2.12;8479.27
MRNA;2.555;2.08;8312.81
SWKS;2.3816;1.94;7748.71
BIDU;2.2771;1.85;7408.84
CMCSA;2.1816;1.77;7097.88
KDP;2.0813;1.69;6771.55
PCAR;2.0173;1.64;6563.54
FOXA;1.8502;1.5;6019.79
REGN;1.6052;1.31;5222.67
OKTA;1.4279;1.16;4645.93
INTC;1.2795;1.04;4162.85
MDLZ;0.9287;0.76;3021.53
ALGN;0.8506;0.69;2767.55
PDD;0.7325;0.6;2383.23
MU;0.6465;0.53;2103.55
PYPL;0.5245;0.43;1706.54
ADI;0.5037;0.41;1638.75
CHTR;0.4703;0.38;1530.14
INCY;0.2942;0.24;957.3
FISV;0.072;0.06;234.16
AMD us equity;0.0605;0.05;196.89
NTES;0.0569;0.05;185.25
SNPS;-0.1095;0.09;356.15
MRVL;-0.7178;0.58;2335.53
TMUS;-0.9555;0.78;3108.84
CPRT;-0.9724;0.79;3163.73
DLTR;-0.9869;0.8;3211.1
MCHP;-1.055;0.86;3432.49
LULU;-1.344;1.09;4372.76
GOOGL;-1.5303;1.24;4979.13
ILMN;-1.9162;1.56;6234.4
CSX;-2.1302;1.73;6930.73
EA;-2.1572;1.75;7018.62
AMAT;-2.2928;1.86;7459.85
QCOM;-2.468;2.01;8029.78
CSCO;-2.933;2.39;9542.67
NXPI;-3.0169;2.45;9815.85
DOCU;-3.4643;2.82;11271.28
EBAY;-3.6462;2.97;11863.1
LRCX;-3.7335;3.04;12147.35
WDAY;-3.8125;3.1;12404.36
VRTX;-3.8652;3.14;12575.88
CDW;-4.2315;3.44;13767.63
CHKP;-4.239;3.45;13792.06
DXCM;-5.2949;4.31;17227.29
