Date;Portfolio Value;TradesMade;Change portfolio ;Change SP500
1/22/2026 ;999980;2;0,00%;0.55%
1/23/2026;999980;2;0,00%;0.03%
1/24/2026 ;999980;2;0,00%;0,00%
1/25/2026;999980;2;0,00%;0,00%
1/26/2026;996498,6704;4;-0,35%;-0.01%
1/27/2026;996286,3787;8;-0,02%;0.41%
1/28/2026;999193,9668;8;0,29%;-0.01%
1/29/2026 ;987368,7426;10;-1,18%;-0.13%
1/30/2026 ;974493,2509;10;-1,30%;-0.43%
1/31/2026 ;973753,4023;10;-0,08%;0,00%
02/01/2026;969641,1552;10;-0,42%;0,00%
02/02/2026;968077,6127;10;-0,16%;0.54%
02/03/2026;988839,8277;12;2,14%;-0.84%
02/04/2026;983703,4294;12;-0,52%;-0.51%
02/05/2026;981171,9866;13;-0,26%;-1.23%
02/06/2026;994677,2659;17;1,38%;1.97%
02/07/2026;994681,9559;17;0,00%;0,00%
02/08/2026;995961,3045;17;0,13%;0,00%
02/09/2026;1032191,613;34;3,64%;0.47%
02/10/2026;1002403,103;37;-2,89%;-0.33%
02/11/2026;994377,1365;37;-0,80%;0.00%
02/12/2026;961058,7841;37;-3,35%;-1.57%
2/13/2026 ;955176,8893;37;-0,61%;0.05%
2/14/2026 ;955213,2005;37;0,00%;0,00%
2/15/2026 ;954267,4769;37;-0,10%;0,00%
2/16/2026 ;954946,1226;37;0,07%;0,00%
2/17/2026;944905,6532;39;-1,05%;0.10%
2/18/2026;924664,1078;41;-2,14%;0.56%
2/19/2026 ;912013,5748;41;-1,37%;-0.28%
2/20/2026;908432,8428;43;-0,39%;0.69%
2/21/2026 ;908469,1523;43;0,00%;0,00%
2/22/2026 ;909129,2799;43;0,07%;0,00%
2/23/2026 ;908235,6312;43;-0,10%;-1.04%
2/24/2026 ;911102,6812;43;0,32%;0.77%
2/25/2026 ;912650,4305;43;0,17%;0.81%
2/26/2026 ;913197,394;43;0,06%;-0.54%
2/27/2026;917967,2365;44;0,52%;-0.43%
2/28/2026 ;918003,5447;44;0,00%;0,00%
03/01/2026;918904,665;44;0,10%;0,00%
03/02/2026;918493,6749;50;-0,04%;0.04%
03/03/2026;898403,2593;103;-2,19%;-0.94%
03/04/2026;898755,4433;103;0,04%;0.78%
03/05/2026;892200,686;104;-0,73%;-0.56%
03/06/2026;890163,0447;107;-0,23%;-1.33%
03/07/2026;890147,6781;107;0,00%;0,00%
03/08/2026;892866,5811;107;0,31%;0,00%
03/09/2026;887801,1856;107;-0,57%;0.83%
03/10/2026;889255,3667;113;0,16%;-0.21%
03/11/2026;883466,6937;114;-0,65%;-0.08%
03/12/2026;878711,0923;114;-0,54%;-1.52%
3/13/2026 ;881277,8396;117;0,29%;-0.61%
3/14/2026 ;881264,6596;117;0,00%;0,00%
3/15/2026 ;882891,1136;117;0,18%;0,00%
3/16/2026 ;884306,6258;118;0,16%;1.01%
3/17/2026;;;;0.25%
3/18/2026 ;902733,8261;216;2,08%;-1.36%
3/19/2026 ;868217,5045;220;-3,82%;-0.27%
3/20/2026;904685,5777;220;4,20%;-1.51%
3/21/2026 ;910831,8884;220;0,68%;0,00%
3/22/2026 ;918631,4721;220;0,86%;0,00%
3/23/2026 ;838083,9991;223;-8,77%;1.15%
3/24/2026;788612,6933;223;-5,90%;-0.37%
3/25/2026 ;850911,7226;223;7,90%;0.54%
3/26/2026 ;923208,9183;229;8,50%;-1.74%
3/27/2026 ;924684,0788;232;0,16%;-1.67%
;;;;
;;;;
;;;;
;;;;
